Region,Country,State,City,Month,Day,Year,AvgTemperature,
Europe,United Kingdom,,Belfast,3,28,1995,39.8,0
Europe,United Kingdom,,Belfast,3,29,1995,40.3,0
Europe,United Kingdom,,Belfast,3,30,1995,51,0
Europe,United Kingdom,,Belfast,3,31,1995,55.4,0
Europe,United Kingdom,,Belfast,4,1,1995,60,1
Europe,United Kingdom,,Belfast,4,2,1995,56.7,0
Europe,United Kingdom,,Belfast,4,3,1995,52.5,0
Europe,United Kingdom,,Belfast,4,4,1995,48.4,0
Europe,United Kingdom,,Belfast,4,5,1995,53.9,0
Europe,United Kingdom,,Belfast,4,6,1995,56.6,0
Europe,United Kingdom,,Belfast,4,7,1995,51.7,0
Europe,United Kingdom,,Belfast,4,8,1995,46.1,0
Europe,United Kingdom,,Belfast,4,9,1995,48.8,0
Europe,United Kingdom,,Belfast,4,10,1995,53.8,0
Europe,United Kingdom,,Belfast,4,11,1995,53,0
Europe,United Kingdom,,Belfast,4,12,1995,51.2,0
Europe,United Kingdom,,Belfast,4,13,1995,53.2,0
Europe,United Kingdom,,Belfast,4,14,1995,55.8,0
Europe,United Kingdom,,Belfast,4,15,1995,50.4,0
Europe,United Kingdom,,Belfast,4,16,1995,51.5,0
Europe,United Kingdom,,Belfast,4,17,1995,51.5,0
Europe,United Kingdom,,Belfast,4,18,1995,42.9,0
Europe,United Kingdom,,Belfast,4,19,1995,43.4,0
Europe,United Kingdom,,Belfast,4,20,1995,42,0
Europe,United Kingdom,,Belfast,4,21,1995,43.8,0
Europe,United Kingdom,,Belfast,4,22,1995,47.4,0
Europe,United Kingdom,,Belfast,4,23,1995,48.9,0
Europe,United Kingdom,,Belfast,4,24,1995,50.8,0
Europe,United Kingdom,,Belfast,4,25,1995,53.3,0
Europe,United Kingdom,,Belfast,4,26,1995,49.2,0
Europe,United Kingdom,,Belfast,4,27,1995,46.5,0
Europe,United Kingdom,,Belfast,4,28,1995,50.3,0
Europe,United Kingdom,,Belfast,4,29,1995,50,0
Europe,United Kingdom,,Belfast,4,30,1995,54,0
Europe,United Kingdom,,Belfast,5,1,1995,55.4,1
Europe,United Kingdom,,Belfast,5,2,1995,58.9,0
Europe,United Kingdom,,Belfast,5,3,1995,60.9,0
Europe,United Kingdom,,Belfast,5,4,1995,65.4,0
Europe,United Kingdom,,Belfast,5,5,1995,57.5,0
Europe,United Kingdom,,Belfast,5,6,1995,59.6,0
Europe,United Kingdom,,Belfast,5,7,1995,57.8,0
Europe,United Kingdom,,Belfast,5,8,1995,53.5,0
Europe,United Kingdom,,Belfast,5,9,1995,51.4,0
Europe,United Kingdom,,Belfast,5,10,1995,49.6,0
Europe,United Kingdom,,Belfast,5,11,1995,48.8,0
Europe,United Kingdom,,Belfast,5,12,1995,44.5,0
Europe,United Kingdom,,Belfast,5,13,1995,48,0
Europe,United Kingdom,,Belfast,5,14,1995,48.7,0
Europe,United Kingdom,,Belfast,5,15,1995,48.1,0
Europe,United Kingdom,,Belfast,5,16,1995,49.5,0
Europe,United Kingdom,,Belfast,5,17,1995,48,0
Europe,United Kingdom,,Belfast,5,18,1995,48.7,0
Europe,United Kingdom,,Belfast,5,19,1995,53.4,0
Europe,United Kingdom,,Belfast,5,20,1995,53.2,0
Europe,United Kingdom,,Belfast,5,21,1995,55.9,0
Europe,United Kingdom,,Belfast,5,22,1995,54.1,0
Europe,United Kingdom,,Belfast,5,23,1995,60.4,0
Europe,United Kingdom,,Belfast,5,24,1995,56.8,0
Europe,United Kingdom,,Belfast,5,25,1995,57.2,0
Europe,United Kingdom,,Belfast,5,26,1995,57.2,0
Europe,United Kingdom,,Belfast,5,27,1995,56.8,0
Europe,United Kingdom,,Belfast,5,28,1995,59.1,0
Europe,United Kingdom,,Belfast,5,29,1995,58,0
Europe,United Kingdom,,Belfast,5,30,1995,58.2,0
Europe,United Kingdom,,Belfast,5,31,1995,55.8,0
Europe,United Kingdom,,Belfast,6,1,1995,54.9,1
Europe,United Kingdom,,Belfast,6,2,1995,56.4,0
Europe,United Kingdom,,Belfast,6,3,1995,58.8,0
Europe,United Kingdom,,Belfast,6,4,1995,54.5,0
Europe,United Kingdom,,Belfast,6,5,1995,56.5,0
Europe,United Kingdom,,Belfast,6,6,1995,58.9,0
Europe,United Kingdom,,Belfast,6,7,1995,54.9,0
Europe,United Kingdom,,Belfast,6,8,1995,53.4,0
Europe,United Kingdom,,Belfast,6,9,1995,58.6,0
Europe,United Kingdom,,Belfast,6,10,1995,57.8,0
Europe,United Kingdom,,Belfast,6,11,1995,57.6,0
Europe,United Kingdom,,Belfast,6,12,1995,57,0
Europe,United Kingdom,,Belfast,6,13,1995,58.6,0
Europe,United Kingdom,,Belfast,6,14,1995,63,0
Europe,United Kingdom,,Belfast,6,15,1995,59.1,0
Europe,United Kingdom,,Belfast,6,16,1995,56.2,0
Europe,United Kingdom,,Belfast,6,17,1995,60,0
Europe,United Kingdom,,Belfast,6,18,1995,61.3,0
Europe,United Kingdom,,Belfast,6,19,1995,64.1,0
Europe,United Kingdom,,Belfast,6,20,1995,59.3,0
Europe,United Kingdom,,Belfast,6,21,1995,60,0
Europe,United Kingdom,,Belfast,6,22,1995,66.1,0
Europe,United Kingdom,,Belfast,6,23,1995,68,0
Europe,United Kingdom,,Belfast,6,24,1995,68.1,0
Europe,United Kingdom,,Belfast,6,25,1995,69.8,0
Europe,United Kingdom,,Belfast,6,26,1995,71,0
Europe,United Kingdom,,Belfast,6,27,1995,71.8,0
Europe,United Kingdom,,Belfast,6,28,1995,73.4,0
Europe,United Kingdom,,Belfast,6,29,1995,77.6,0
Europe,United Kingdom,,Belfast,6,30,1995,69.4,0
Europe,United Kingdom,,Belfast,7,1,1995,63.4,1
Europe,United Kingdom,,Belfast,7,2,1995,60.2,0
Europe,United Kingdom,,Belfast,7,3,1995,58.1,0
Europe,United Kingdom,,Belfast,7,4,1995,61.9,0
Europe,United Kingdom,,Belfast,7,5,1995,64.1,0
Europe,United Kingdom,,Belfast,7,6,1995,65.6,0
Europe,United Kingdom,,Belfast,7,7,1995,62.6,0
Europe,United Kingdom,,Belfast,7,8,1995,59.4,0
Europe,United Kingdom,,Belfast,7,9,1995,67.8,0
Europe,United Kingdom,,Belfast,7,10,1995,67.9,0
Europe,United Kingdom,,Belfast,7,11,1995,63.1,0
Europe,United Kingdom,,Belfast,7,12,1995,64.7,0
Europe,United Kingdom,,Belfast,7,13,1995,66.2,0
Europe,United Kingdom,,Belfast,7,14,1995,63.4,0
Europe,United Kingdom,,Belfast,7,15,1995,64,0
Europe,United Kingdom,,Belfast,7,16,1995,63.1,0
Europe,United Kingdom,,Belfast,7,17,1995,63.5,0
Europe,United Kingdom,,Belfast,7,18,1995,72.1,0
Europe,United Kingdom,,Belfast,7,19,1995,75.8,0
Europe,United Kingdom,,Belfast,7,20,1995,67.6,0
Europe,United Kingdom,,Belfast,7,21,1995,62.7,0
Europe,United Kingdom,,Belfast,7,22,1995,62.8,0
Europe,United Kingdom,,Belfast,7,23,1995,64.1,0
Europe,United Kingdom,,Belfast,7,24,1995,64.8,0
Europe,United Kingdom,,Belfast,7,25,1995,69.1,0
Europe,United Kingdom,,Belfast,7,26,1995,72.2,0
Europe,United Kingdom,,Belfast,7,27,1995,73.2,0
Europe,United Kingdom,,Belfast,7,28,1995,70.6,0
Europe,United Kingdom,,Belfast,7,29,1995,67.5,0
Europe,United Kingdom,,Belfast,7,30,1995,71.7,0
Europe,United Kingdom,,Belfast,7,31,1995,72.5,0
Europe,United Kingdom,,Belfast,8,1,1995,71.1,1
Europe,United Kingdom,,Belfast,8,2,1995,72.9,0
Europe,United Kingdom,,Belfast,8,3,1995,70.6,0
Europe,United Kingdom,,Belfast,8,4,1995,67.5,0
Europe,United Kingdom,,Belfast,8,5,1995,66.4,0
Europe,United Kingdom,,Belfast,8,6,1995,68.1,0
Europe,United Kingdom,,Belfast,8,7,1995,64.9,0
Europe,United Kingdom,,Belfast,8,8,1995,67,0
Europe,United Kingdom,,Belfast,8,9,1995,69.4,0
Europe,United Kingdom,,Belfast,8,10,1995,72,0
Europe,United Kingdom,,Belfast,8,11,1995,72.6,0
Europe,United Kingdom,,Belfast,8,12,1995,70,0
Europe,United Kingdom,,Belfast,8,13,1995,64.4,0
Europe,United Kingdom,,Belfast,8,14,1995,70.1,0
Europe,United Kingdom,,Belfast,8,15,1995,72.2,0
Europe,United Kingdom,,Belfast,8,16,1995,70.3,0
Europe,United Kingdom,,Belfast,8,17,1995,71.2,0
Europe,United Kingdom,,Belfast,8,18,1995,71.9,0
Europe,United Kingdom,,Belfast,8,19,1995,71.9,0
Europe,United Kingdom,,Belfast,8,20,1995,75.8,0
Europe,United Kingdom,,Belfast,8,21,1995,76.7,0
Europe,United Kingdom,,Belfast,8,22,1995,65,0
Europe,United Kingdom,,Belfast,8,23,1995,62.7,0
Europe,United Kingdom,,Belfast,8,24,1995,68.5,0
Europe,United Kingdom,,Belfast,8,25,1995,63.2,0
Europe,United Kingdom,,Belfast,8,26,1995,62.6,0
Europe,United Kingdom,,Belfast,8,27,1995,59.2,0
Europe,United Kingdom,,Belfast,8,28,1995,60.3,0
Europe,United Kingdom,,Belfast,8,29,1995,65.6,0
Europe,United Kingdom,,Belfast,8,30,1995,62.3,0
Europe,United Kingdom,,Belfast,8,31,1995,63.5,0
Europe,United Kingdom,,Belfast,9,1,1995,64.5,1
Europe,United Kingdom,,Belfast,9,2,1995,59.2,0
Europe,United Kingdom,,Belfast,9,3,1995,60.4,0
Europe,United Kingdom,,Belfast,9,4,1995,62.1,0
Europe,United Kingdom,,Belfast,9,5,1995,56.3,0
Europe,United Kingdom,,Belfast,9,6,1995,59.1,0
Europe,United Kingdom,,Belfast,9,7,1995,61,0
Europe,United Kingdom,,Belfast,9,8,1995,62.7,0
Europe,United Kingdom,,Belfast,9,9,1995,60.2,0
Europe,United Kingdom,,Belfast,9,10,1995,59.4,0
Europe,United Kingdom,,Belfast,9,11,1995,59.3,0
Europe,United Kingdom,,Belfast,9,12,1995,60.2,0
Europe,United Kingdom,,Belfast,9,13,1995,62.1,0
Europe,United Kingdom,,Belfast,9,14,1995,61.4,0
Europe,United Kingdom,,Belfast,9,15,1995,60.1,0
Europe,United Kingdom,,Belfast,9,16,1995,59.6,0
Europe,United Kingdom,,Belfast,9,17,1995,58.7,0
Europe,United Kingdom,,Belfast,9,18,1995,61.5,0
Europe,United Kingdom,,Belfast,9,19,1995,62.5,0
Europe,United Kingdom,,Belfast,9,20,1995,61.1,0
Europe,United Kingdom,,Belfast,9,21,1995,61.8,0
Europe,United Kingdom,,Belfast,9,22,1995,60.4,0
Europe,United Kingdom,,Belfast,9,23,1995,59.9,0
Europe,United Kingdom,,Belfast,9,24,1995,53.8,0
Europe,United Kingdom,,Belfast,9,25,1995,60.9,0
Europe,United Kingdom,,Belfast,9,26,1995,57,0
Europe,United Kingdom,,Belfast,9,27,1995,50.4,0
Europe,United Kingdom,,Belfast,9,28,1995,53,0
Europe,United Kingdom,,Belfast,9,29,1995,54.6,0
Europe,United Kingdom,,Belfast,9,30,1995,56.2,0
Europe,United Kingdom,,Belfast,10,1,1995,57.3,1
Europe,United Kingdom,,Belfast,10,2,1995,60,0
Europe,United Kingdom,,Belfast,10,3,1995,59.2,0
Europe,United Kingdom,,Belfast,10,4,1995,58.3,0
Europe,United Kingdom,,Belfast,10,5,1995,56.2,0
Europe,United Kingdom,,Belfast,10,6,1995,63,0
Europe,United Kingdom,,Belfast,10,7,1995,56.9,0
Europe,United Kingdom,,Belfast,10,8,1995,66.2,0
Europe,United Kingdom,,Belfast,10,9,1995,60.4,0
Europe,United Kingdom,,Belfast,10,10,1995,57.7,0
Europe,United Kingdom,,Belfast,10,11,1995,60.2,1
Europe,United Kingdom,,Belfast,10,12,1995,55.3,0
Europe,United Kingdom,,Belfast,10,13,1995,61.4,0
Europe,United Kingdom,,Belfast,10,14,1995,63.1,0
Europe,United Kingdom,,Belfast,10,15,1995,62,0
Europe,United Kingdom,,Belfast,10,16,1995,61.2,0
Europe,United Kingdom,,Belfast,10,17,1995,58.2,0
Europe,United Kingdom,,Belfast,10,18,1995,53.2,0
Europe,United Kingdom,,Belfast,10,19,1995,59.3,0
Europe,United Kingdom,,Belfast,10,20,1995,52.6,0
Europe,United Kingdom,,Belfast,10,21,1995,52.4,0
Europe,United Kingdom,,Belfast,10,22,1995,55.9,0
Europe,United Kingdom,,Belfast,10,23,1995,60.2,0
Europe,United Kingdom,,Belfast,10,24,1995,59.6,0
Europe,United Kingdom,,Belfast,10,25,1995,53.1,0
Europe,United Kingdom,,Belfast,10,26,1995,55.2,0
Europe,United Kingdom,,Belfast,10,27,1995,49,0
Europe,United Kingdom,,Belfast,10,28,1995,48.7,0
Europe,United Kingdom,,Belfast,10,29,1995,52,0
Europe,United Kingdom,,Belfast,10,30,1995,59.2,0
Europe,United Kingdom,,Belfast,10,31,1995,60.4,0
Europe,United Kingdom,,Belfast,11,1,1995,53.7,1
Europe,United Kingdom,,Belfast,11,2,1995,51.5,0
Europe,United Kingdom,,Belfast,11,3,1995,51.2,0
Europe,United Kingdom,,Belfast,11,4,1995,52.7,0
Europe,United Kingdom,,Belfast,11,5,1995,55.1,0
Europe,United Kingdom,,Belfast,11,6,1995,52.6,0
Europe,United Kingdom,,Belfast,11,7,1995,57.6,0
Europe,United Kingdom,,Belfast,11,8,1995,54.8,0
Europe,United Kingdom,,Belfast,11,9,1995,45.7,0
Europe,United Kingdom,,Belfast,11,10,1995,47.4,0
Europe,United Kingdom,,Belfast,11,11,1995,52.4,0
Europe,United Kingdom,,Belfast,11,12,1995,56.6,0
Europe,United Kingdom,,Belfast,11,13,1995,56.3,0
Europe,United Kingdom,,Belfast,11,14,1995,50,0
Europe,United Kingdom,,Belfast,11,15,1995,50.7,0
Europe,United Kingdom,,Belfast,11,16,1995,42.4,0
Europe,United Kingdom,,Belfast,11,17,1995,41.3,0
Europe,United Kingdom,,Belfast,11,18,1995,41.7,0
Europe,United Kingdom,,Belfast,11,19,1995,47.4,0
Europe,United Kingdom,,Belfast,11,20,1995,50.7,0
Europe,United Kingdom,,Belfast,11,21,1995,57.4,0
Europe,United Kingdom,,Belfast,11,22,1995,49.9,0
Europe,United Kingdom,,Belfast,11,23,1995,56.4,0
Europe,United Kingdom,,Belfast,11,24,1995,54.3,0
Europe,United Kingdom,,Belfast,11,25,1995,43,0
Europe,United Kingdom,,Belfast,11,26,1995,47.6,0
Europe,United Kingdom,,Belfast,11,27,1995,47,0
Europe,United Kingdom,,Belfast,11,28,1995,51.5,0
Europe,United Kingdom,,Belfast,11,29,1995,53.3,0
Europe,United Kingdom,,Belfast,11,30,1995,50.5,0
Europe,United Kingdom,,Belfast,12,1,1995,52.6,1
Europe,United Kingdom,,Belfast,12,2,1995,55.4,0
Europe,United Kingdom,,Belfast,12,3,1995,52.2,0
Europe,United Kingdom,,Belfast,12,4,1995,48.3,0
Europe,United Kingdom,,Belfast,12,5,1995,42.1,0
Europe,United Kingdom,,Belfast,12,6,1995,42.1,0
Europe,United Kingdom,,Belfast,12,7,1995,38.4,0
Europe,United Kingdom,,Belfast,12,8,1995,39.4,0
Europe,United Kingdom,,Belfast,12,9,1995,46.9,0
Europe,United Kingdom,,Belfast,12,10,1995,44.5,0
Europe,United Kingdom,,Belfast,12,11,1995,43.8,0
Europe,United Kingdom,,Belfast,12,12,1995,45.3,0
Europe,United Kingdom,,Belfast,12,13,1995,45.8,0
Europe,United Kingdom,,Belfast,12,14,1995,44.6,0
Europe,United Kingdom,,Belfast,12,15,1995,44.2,0
Europe,United Kingdom,,Belfast,12,16,1995,45.3,0
Europe,United Kingdom,,Belfast,12,17,1995,44.9,0
Europe,United Kingdom,,Belfast,12,18,1995,45.2,0
Europe,United Kingdom,,Belfast,12,19,1995,43.1,0
Europe,United Kingdom,,Belfast,12,20,1995,34.7,0
Europe,United Kingdom,,Belfast,12,21,1995,42.9,0
Europe,United Kingdom,,Belfast,12,22,1995,43.1,0
Europe,United Kingdom,,Belfast,12,23,1995,40.4,0
Europe,United Kingdom,,Belfast,12,24,1995,37.4,0
Europe,United Kingdom,,Belfast,12,25,1995,-99,0
Europe,United Kingdom,,Belfast,12,26,1995,31.4,0
Europe,United Kingdom,,Belfast,12,27,1995,25.1,0
Europe,United Kingdom,,Belfast,12,28,1995,32,0
Europe,United Kingdom,,Belfast,12,29,1995,36.6,0
Europe,United Kingdom,,Belfast,12,30,1995,39.4,0
Europe,United Kingdom,,Belfast,12,31,1995,40.9,0
Europe,United Kingdom,,Belfast,1,1,1996,45.9,1
Europe,United Kingdom,,Belfast,1,2,1996,49.4,0
Europe,United Kingdom,,Belfast,1,3,1996,51,0
Europe,United Kingdom,,Belfast,1,4,1996,48,0
Europe,United Kingdom,,Belfast,1,5,1996,50.4,0
Europe,United Kingdom,,Belfast,1,6,1996,46.8,0
Europe,United Kingdom,,Belfast,1,7,1996,49.6,0
Europe,United Kingdom,,Belfast,1,8,1996,51.6,0
Europe,United Kingdom,,Belfast,1,9,1996,51.3,0
Europe,United Kingdom,,Belfast,1,10,1996,43.7,0
Europe,United Kingdom,,Belfast,1,11,1996,47.5,0
Europe,United Kingdom,,Belfast,1,12,1996,50.9,0
Europe,United Kingdom,,Belfast,1,13,1996,49.4,0
Europe,United Kingdom,,Belfast,1,14,1996,50.7,0
Europe,United Kingdom,,Belfast,1,15,1996,51,0
Europe,United Kingdom,,Belfast,1,16,1996,49.1,0
Europe,United Kingdom,,Belfast,1,17,1996,51.6,0
Europe,United Kingdom,,Belfast,1,18,1996,51.8,0
Europe,United Kingdom,,Belfast,1,19,1996,49.2,0
Europe,United Kingdom,,Belfast,1,20,1996,45.7,0
Europe,United Kingdom,,Belfast,1,21,1996,40.7,0
Europe,United Kingdom,,Belfast,1,22,1996,41.5,0
Europe,United Kingdom,,Belfast,1,23,1996,41,0
Europe,United Kingdom,,Belfast,1,24,1996,40.8,0
Europe,United Kingdom,,Belfast,1,25,1996,38,0
Europe,United Kingdom,,Belfast,1,26,1996,36,0
Europe,United Kingdom,,Belfast,1,27,1996,34.6,0
Europe,United Kingdom,,Belfast,1,28,1996,38.8,0
Europe,United Kingdom,,Belfast,1,29,1996,37.4,0
Europe,United Kingdom,,Belfast,1,30,1996,40,0
Europe,United Kingdom,,Belfast,1,31,1996,38.6,0
Europe,United Kingdom,,Belfast,2,1,1996,37.1,1
Europe,United Kingdom,,Belfast,2,2,1996,37.3,0
Europe,United Kingdom,,Belfast,2,3,1996,35.2,0
Europe,United Kingdom,,Belfast,2,4,1996,40,0
Europe,United Kingdom,,Belfast,2,5,1996,41.6,0
Europe,United Kingdom,,Belfast,2,6,1996,39.1,0
Europe,United Kingdom,,Belfast,2,7,1996,36.9,0
Europe,United Kingdom,,Belfast,2,8,1996,39.3,0
Europe,United Kingdom,,Belfast,2,9,1996,46.5,0
Europe,United Kingdom,,Belfast,2,10,1996,45.7,0
Europe,United Kingdom,,Belfast,2,11,1996,46.1,0
Europe,United Kingdom,,Belfast,2,12,1996,43.5,0
Europe,United Kingdom,,Belfast,2,13,1996,41.8,0
Europe,United Kingdom,,Belfast,2,14,1996,38,0
Europe,United Kingdom,,Belfast,2,15,1996,47.7,0
Europe,United Kingdom,,Belfast,2,16,1996,48.4,0
Europe,United Kingdom,,Belfast,2,17,1996,46.3,0
Europe,United Kingdom,,Belfast,2,18,1996,42.9,0
Europe,United Kingdom,,Belfast,2,19,1996,40.7,0
Europe,United Kingdom,,Belfast,2,20,1996,39.4,0
Europe,United Kingdom,,Belfast,2,21,1996,39.7,0
Europe,United Kingdom,,Belfast,2,22,1996,43.3,0
Europe,United Kingdom,,Belfast,2,23,1996,47.1,0
Europe,United Kingdom,,Belfast,2,24,1996,42,0
Europe,United Kingdom,,Belfast,2,25,1996,39.1,0
Europe,United Kingdom,,Belfast,2,26,1996,38.3,0
Europe,United Kingdom,,Belfast,2,27,1996,42.3,0
Europe,United Kingdom,,Belfast,2,28,1996,44.3,0
Europe,United Kingdom,,Belfast,2,29,1996,47.2,0
Europe,United Kingdom,,Belfast,3,1,1996,48.2,1
Europe,United Kingdom,,Belfast,3,2,1996,48.4,0
Europe,United Kingdom,,Belfast,3,3,1996,50.6,0
Europe,United Kingdom,,Belfast,3,4,1996,47.7,0
Europe,United Kingdom,,Belfast,3,5,1996,47,0
Europe,United Kingdom,,Belfast,3,6,1996,48.7,0
Europe,United Kingdom,,Belfast,3,7,1996,48.3,0
Europe,United Kingdom,,Belfast,3,8,1996,42.9,0
Europe,United Kingdom,,Belfast,3,9,1996,42.9,0
Europe,United Kingdom,,Belfast,3,10,1996,46.6,0
Europe,United Kingdom,,Belfast,3,11,1996,49.8,0
Europe,United Kingdom,,Belfast,3,12,1996,44.6,0
Europe,United Kingdom,,Belfast,3,13,1996,37.1,0
Europe,United Kingdom,,Belfast,3,14,1996,39,0
Europe,United Kingdom,,Belfast,3,15,1996,40.4,0
Europe,United Kingdom,,Belfast,3,16,1996,42.3,0
Europe,United Kingdom,,Belfast,3,17,1996,43.9,0
Europe,United Kingdom,,Belfast,3,18,1996,43.8,0
Europe,United Kingdom,,Belfast,3,19,1996,44.6,0
Europe,United Kingdom,,Belfast,3,20,1996,44.1,0
Europe,United Kingdom,,Belfast,3,21,1996,43.4,0
Europe,United Kingdom,,Belfast,3,22,1996,42.8,0
Europe,United Kingdom,,Belfast,3,23,1996,45.6,0
Europe,United Kingdom,,Belfast,3,24,1996,45.2,0
Europe,United Kingdom,,Belfast,3,25,1996,44.6,0
Europe,United Kingdom,,Belfast,3,26,1996,44.3,0
Europe,United Kingdom,,Belfast,3,27,1996,43.8,0
Europe,United Kingdom,,Belfast,3,28,1996,47,0
Europe,United Kingdom,,Belfast,3,29,1996,46.2,0
Europe,United Kingdom,,Belfast,3,30,1996,43.2,0
Europe,United Kingdom,,Belfast,3,31,1996,44.3,0
Europe,United Kingdom,,Belfast,4,1,1996,44.5,1
Europe,United Kingdom,,Belfast,4,2,1996,47.7,0
Europe,United Kingdom,,Belfast,4,3,1996,47.6,0
Europe,United Kingdom,,Belfast,4,4,1996,46,0
Europe,United Kingdom,,Belfast,4,5,1996,48.6,0
Europe,United Kingdom,,Belfast,4,6,1996,48.5,0
Europe,United Kingdom,,Belfast,4,7,1996,47.8,0
Europe,United Kingdom,,Belfast,4,8,1996,56.1,0
Europe,United Kingdom,,Belfast,4,9,1996,51.8,0
Europe,United Kingdom,,Belfast,4,10,1996,53.5,0
Europe,United Kingdom,,Belfast,4,11,1996,48.3,0
Europe,United Kingdom,,Belfast,4,12,1996,44,0
