DATE,PRCP,TMAX,TMIN,RAIN
3/9/2017,0.7,49,39,TRUE
3/10/2017,0.03,52,44,TRUE
3/11/2017,0.37,53,40,TRUE
3/12/2017,0.02,53,45,TRUE
3/13/2017,0.65,53,47,TRUE
3/14/2017,0.39,57,48,TRUE
3/15/2017,0.81,50,44,TRUE
3/16/2017,0,52,39,FALSE
3/17/2017,0.68,53,37,TRUE
3/18/2017,0.34,57,35,TRUE
3/19/2017,0,53,34,FALSE
3/20/2017,0.01,54,38,TRUE
3/21/2017,0.2,56,46,TRUE
3/22/2017,0.02,56,43,TRUE
3/23/2017,0.26,58,39,TRUE
3/24/2017,0.24,54,44,TRUE
3/25/2017,0.01,52,43,TRUE
3/26/2017,0.38,49,43,TRUE
3/27/2017,0.17,53,44,TRUE
3/28/2017,0.14,53,44,TRUE
3/29/2017,0.51,55,45,TRUE
3/30/2017,0,54,43,FALSE
3/31/2017,0,56,37,FALSE
4/1/2017,0.04,56,45,TRUE
4/2/2017,0.04,55,41,TRUE
4/3/2017,0,53,40,FALSE
4/4/2017,0.12,61,43,TRUE
4/5/2017,0.46,54,48,TRUE
4/6/2017,0.26,60,47,TRUE
4/7/2017,0.1,59,46,TRUE
4/8/2017,0.01,52,41,TRUE
4/9/2017,0,56,39,FALSE
4/10/2017,0.38,53,41,TRUE
4/11/2017,0.02,57,38,TRUE
4/12/2017,0.85,59,45,TRUE
4/13/2017,0.08,54,43,TRUE
4/14/2017,0.01,52,42,TRUE
4/15/2017,0,57,41,FALSE
4/16/2017,0,66,42,FALSE
4/17/2017,0.07,60,50,TRUE
4/18/2017,0.48,60,48,TRUE
4/19/2017,0.35,56,46,TRUE
4/20/2017,0.01,58,44,TRUE
4/21/2017,0,66,43,FALSE
4/22/2017,0.07,63,48,TRUE
4/23/2017,0.49,53,45,TRUE
4/24/2017,0.06,57,45,TRUE
4/25/2017,0.05,56,47,TRUE
4/26/2017,0,58,45,FALSE
4/27/2017,0.04,56,44,TRUE
4/28/2017,0,59,43,FALSE
4/29/2017,0.14,57,42,TRUE
4/30/2017,0.08,56,47,TRUE
5/1/2017,0.03,50,45,TRUE
5/2/2017,0.13,61,43,TRUE
5/3/2017,0.11,74,55,TRUE
5/4/2017,0.44,76,53,TRUE
5/5/2017,0.25,59,46,TRUE
5/6/2017,0.02,60,43,TRUE
5/7/2017,0,62,45,FALSE
5/8/2017,0,64,46,FALSE
5/9/2017,0,70,47,FALSE
5/10/2017,0,71,51,FALSE
5/11/2017,0.47,60,46,TRUE
5/12/2017,0.16,54,43,TRUE
5/13/2017,0.03,57,45,TRUE
5/14/2017,0.04,59,47,TRUE
5/15/2017,0.33,52,46,TRUE
5/16/2017,0.15,54,45,TRUE
5/17/2017,0,60,45,FALSE
5/18/2017,0,64,48,FALSE
5/19/2017,0,71,50,FALSE
5/20/2017,0,72,53,FALSE
5/21/2017,0,76,52,FALSE
5/22/2017,0,83,56,FALSE
5/23/2017,0,78,53,FALSE
5/24/2017,0,63,46,FALSE
5/25/2017,0,70,47,FALSE
5/26/2017,0,81,51,FALSE
5/27/2017,0,86,55,FALSE
5/28/2017,0,86,56,FALSE
5/29/2017,0,74,52,FALSE
5/30/2017,0.01,58,52,TRUE
5/31/2017,0.11,72,52,TRUE
6/1/2017,0.02,67,56,TRUE
6/2/2017,0,73,53,FALSE
6/3/2017,0,67,53,FALSE
6/4/2017,0,67,52,FALSE
6/5/2017,0,74,50,FALSE
6/6/2017,0,84,53,FALSE
6/7/2017,0.03,79,56,TRUE
6/8/2017,0.31,63,54,TRUE
6/9/2017,0.05,63,50,TRUE
6/10/2017,0,67,48,FALSE
6/11/2017,0,70,52,FALSE
6/12/2017,0,64,52,FALSE
6/13/2017,0,65,52,FALSE
6/14/2017,0,65,51,FALSE
6/15/2017,1.05,61,53,TRUE
6/16/2017,0,68,53,FALSE
6/17/2017,0.06,63,51,TRUE
6/18/2017,0,71,55,FALSE
6/19/2017,0,74,56,FALSE
6/20/2017,0,73,56,FALSE
6/21/2017,0,69,53,FALSE
6/22/2017,0,75,50,FALSE
6/23/2017,0,81,55,FALSE
6/24/2017,0,89,61,FALSE
6/25/2017,0,96,64,FALSE
6/26/2017,0,72,55,FALSE
6/27/2017,0,71,53,FALSE
6/28/2017,0,68,54,FALSE
6/29/2017,0,78,53,FALSE
6/30/2017,0,86,57,FALSE
7/1/2017,0,72,55,FALSE
7/2/2017,0,77,54,FALSE
7/3/2017,0,70,56,FALSE
7/4/2017,0,78,53,FALSE
7/5/2017,0,85,57,FALSE
7/6/2017,0,85,55,FALSE
7/7/2017,0,72,55,FALSE
7/8/2017,0,81,58,FALSE
7/9/2017,0,80,56,FALSE
7/10/2017,0,73,58,FALSE
7/11/2017,0,75,54,FALSE
7/12/2017,0,78,54,FALSE
7/13/2017,0,75,57,FALSE
7/14/2017,0,79,57,FALSE
7/15/2017,0,77,54,FALSE
7/16/2017,0,72,55,FALSE
7/17/2017,0,78,55,FALSE
7/18/2017,0,82,56,FALSE
7/19/2017,0,78,53,FALSE
7/20/2017,0,74,59,FALSE
7/21/2017,0,78,55,FALSE
7/22/2017,0,85,63,FALSE
7/23/2017,0,76,62,FALSE
7/24/2017,0,82,56,FALSE
7/25/2017,0,87,58,FALSE
7/26/2017,0,84,56,FALSE
7/27/2017,0,70,57,FALSE
7/28/2017,0,79,56,FALSE
7/29/2017,0,81,54,FALSE
7/30/2017,0,80,58,FALSE
7/31/2017,0,85,60,FALSE
8/1/2017,0,87,60,FALSE
8/2/2017,0,91,69,FALSE
8/3/2017,0,94,68,FALSE
8/4/2017,0,91,62,FALSE
8/5/2017,0,82,58,FALSE
8/6/2017,0,82,58,FALSE
8/7/2017,0,84,57,FALSE
8/8/2017,0,89,59,FALSE
8/9/2017,0,91,61,FALSE
8/10/2017,0,90,60,FALSE
8/11/2017,0,77,57,FALSE
8/12/2017,0.02,76,58,TRUE
8/13/2017,0,74,60,FALSE
8/14/2017,0,73,56,FALSE
8/15/2017,0,78,55,FALSE
8/16/2017,0,79,57,FALSE
8/17/2017,0,75,59,FALSE
8/18/2017,0,73,55,FALSE
8/19/2017,0,76,58,FALSE
8/20/2017,0,77,56,FALSE
8/21/2017,0,83,57,FALSE
8/22/2017,0,86,60,FALSE
8/23/2017,0,75,59,FALSE
8/24/2017,0,72,58,FALSE
8/25/2017,0,76,54,FALSE
8/26/2017,0,84,54,FALSE
8/27/2017,0,87,61,FALSE
8/28/2017,0,88,62,FALSE
8/29/2017,0,85,60,FALSE
8/30/2017,0,77,60,FALSE
8/31/2017,0,75,61,FALSE
9/1/2017,0,85,57,FALSE
9/2/2017,0,90,62,FALSE
9/3/2017,0,90,65,FALSE
9/4/2017,0,88,65,FALSE
9/5/2017,0,85,66,FALSE
9/6/2017,0,81,63,FALSE
9/7/2017,0,75,61,FALSE
9/8/2017,0,71,60,FALSE
9/9/2017,0,68,59,FALSE
9/10/2017,0,73,55,FALSE
9/11/2017,0,80,52,FALSE
9/12/2017,0,77,57,FALSE
9/13/2017,0,70,53,FALSE
9/14/2017,0,74,54,FALSE
9/15/2017,0,76,50,FALSE
9/16/2017,0,76,53,FALSE
9/17/2017,0.15,64,54,TRUE
9/18/2017,0.16,62,50,TRUE
9/19/2017,0.04,64,50,TRUE
9/20/2017,0.13,57,50,TRUE
9/21/2017,0.02,64,50,TRUE
9/22/2017,0,68,51,FALSE
9/23/2017,0,68,54,FALSE
9/24/2017,0,72,50,FALSE
9/25/2017,0.01,65,56,TRUE
9/26/2017,0,74,55,FALSE
9/27/2017,0,80,54,FALSE
9/28/2017,0,86,55,FALSE
9/29/2017,0.07,67,54,TRUE
9/30/2017,0.01,64,52,TRUE
10/1/2017,0,62,50,FALSE
10/2/2017,0,62,47,FALSE
10/3/2017,0,69,44,FALSE
10/4/2017,0,68,45,FALSE
10/5/2017,0,69,45,FALSE
10/6/2017,0.01,66,46,TRUE
10/7/2017,0.01,62,49,TRUE
10/8/2017,0.01,62,46,TRUE
10/9/2017,0,64,43,FALSE
10/10/2017,0,60,45,FALSE
10/11/2017,0.17,57,43,TRUE
10/12/2017,0.38,50,45,TRUE
10/13/2017,0,54,41,FALSE
10/14/2017,0,56,38,FALSE
10/15/2017,0,63,41,FALSE
10/16/2017,0,62,42,FALSE
10/17/2017,0.06,60,49,TRUE
10/18/2017,1.35,64,47,TRUE
10/19/2017,1.04,54,50,TRUE
10/20/2017,0.13,53,46,TRUE
10/21/2017,1.61,58,45,TRUE
10/22/2017,0.02,60,50,TRUE
10/23/2017,0,65,49,FALSE
10/24/2017,0,66,46,FALSE
10/25/2017,0.01,59,44,TRUE
10/26/2017,0,58,49,FALSE
10/27/2017,0,66,46,FALSE
10/28/2017,0,68,44,FALSE
10/29/2017,0,56,46,FALSE
10/30/2017,0,63,45,FALSE
10/31/2017,0,58,38,FALSE
11/1/2017,0.01,55,47,TRUE
11/2/2017,0.19,50,42,TRUE
11/3/2017,0.3,43,33,TRUE
11/4/2017,0.42,41,35,TRUE
11/5/2017,0.61,40,33,TRUE
11/6/2017,0,47,36,FALSE
11/7/2017,0,48,38,FALSE
11/8/2017,0.15,54,45,TRUE
11/9/2017,0.42,50,43,TRUE
11/10/2017,0.01,51,41,TRUE
11/11/2017,0.05,52,43,TRUE
11/12/2017,0.52,57,47,TRUE
11/13/2017,0.81,55,45,TRUE
11/14/2017,0.05,54,44,TRUE
11/15/2017,0.46,53,43,TRUE
11/16/2017,0.16,44,42,TRUE
11/17/2017,0,50,42,FALSE
11/18/2017,0,52,41,FALSE
11/19/2017,0.58,53,39,TRUE
11/20/2017,0.63,50,41,TRUE
11/21/2017,1.14,60,38,TRUE
11/22/2017,0.52,68,56,TRUE
11/23/2017,0.2,59,48,TRUE
11/24/2017,0.01,52,46,TRUE
11/25/2017,0.19,51,43,TRUE
11/26/2017,0.25,58,42,TRUE
11/27/2017,0,50,42,FALSE
11/28/2017,0.68,47,43,TRUE
11/29/2017,0,50,41,FALSE
11/30/2017,0.27,46,41,TRUE
12/1/2017,0.27,48,38,TRUE
12/2/2017,0.79,44,41,TRUE
12/3/2017,0.05,46,39,TRUE
12/4/2017,0,45,34,FALSE
12/5/2017,0,45,33,FALSE
12/6/2017,0,52,36,FALSE
12/7/2017,0,52,34,FALSE
12/8/2017,0,43,29,FALSE
12/9/2017,0,44,29,FALSE
12/10/2017,0,49,34,FALSE
12/11/2017,0,49,29,FALSE
12/12/2017,0,46,32,FALSE
12/13/2017,0,48,34,FALSE
12/14/2017,0,50,36,FALSE
